id,scope,category,model,query,expected_behavior,notes
NTK100-NEW-001,project,ftt,qwen2.5:7b-instruct,Что в ФТТ указано про формирование инспекционных документов в строительном контроле?,answer_from_project_sources,NTK realistic project case for retrieval and grounded answer coverage.
NTK100-NEW-002,project,ftt,qwen2.5:7b-instruct,Какие требования ФТТ относятся к подписанию инспекционных документов электронной подписью?,answer_from_project_sources,NTK realistic project case for retrieval and grounded answer coverage.
NTK100-NEW-003,project,ftt,qwen2.5:7b-instruct,Что ФТТ требует по автоматическому формированию актов проверки и предписаний?,answer_from_project_sources,NTK realistic project case for retrieval and grounded answer coverage.
NTK100-NEW-004,project,ftt,qwen2.5:7b-instruct,Какие требования ФТТ описывают фотофиксацию и видеофиксацию недостатков?,answer_from_project_sources,NTK realistic project case for retrieval and grounded answer coverage.
NTK100-NEW-005,project,ftt,qwen2.5:7b-instruct,Что в ФТТ сказано про уведомление контрагента о необходимости устранить замечание?,answer_from_project_sources,NTK realistic project case for retrieval and grounded answer coverage.
NTK100-NEW-006,project,ftt,qwen2.5:7b-instruct,Какие требования ФТТ относятся к продлению сроков устранения замечаний?,answer_from_project_sources,NTK realistic project case for retrieval and grounded answer coverage.
NTK100-NEW-007,project,ftt,qwen2.5:7b-instruct,Что в ФТТ сказано про аналитику и дашборды строительного контроля?,answer_from_project_sources,NTK realistic project case for retrieval and grounded answer coverage.
NTK100-NEW-008,project,ftt,qwen2.5:7b-instruct,Какие требования ФТТ относятся к экспорту отчетов и отфильтрованных данных?,answer_from_project_sources,NTK realistic project case for retrieval and grounded answer coverage.
NTK100-NEW-009,project,ftt,qwen2.5:7b-instruct,Что ФТТ говорит про сквозное кодирование и связи между модулями?,answer_from_project_sources,NTK realistic project case for retrieval and grounded answer coverage.
NTK100-NEW-010,project,ftt,qwen2.5:7b-instruct,Какие требования ФТТ относятся к 2520 пользователям и 600 одновременно работающим пользователям?,answer_from_project_sources,NTK realistic project case for retrieval and grounded answer coverage.
NTK100-NEW-011,project,ftt,qwen2.5:7b-instruct,Что в ФТТ указано про интеграцию с НОВАДОК для инспекционных документов?,answer_from_project_sources,NTK realistic project case for retrieval and grounded answer coverage.
NTK100-NEW-012,project,ftt,qwen2.5:7b-instruct,Какие требования ФТТ описывают статусы карточек замечаний и документов?,answer_from_project_sources,NTK realistic project case for retrieval and grounded answer coverage.
NTK100-NEW-013,project,pr,qwen2.5:7b-instruct,Как в ПР СМР описан процесс фиксации замечания строительного контроля?,answer_from_project_sources,NTK realistic project case for retrieval and grounded answer coverage.
NTK100-NEW-014,project,pr,qwen2.5:7b-instruct,Какие статусы замечаний строительного контроля описаны в ПР?,answer_from_project_sources,NTK realistic project case for retrieval and grounded answer coverage.
NTK100-NEW-015,project,pr,qwen2.5:7b-instruct,Как в ПР реализовано закрытие замечания после устранения нарушения?,answer_from_project_sources,NTK realistic project case for retrieval and grounded answer coverage.
NTK100-NEW-016,project,pr,qwen2.5:7b-instruct,Что в ПР сказано про аннулирование замечаний строительного контроля?,answer_from_project_sources,NTK realistic project case for retrieval and grounded answer coverage.
NTK100-NEW-017,project,pr,qwen2.5:7b-instruct,Какие документы формируются автоматически после инспекционной проверки по ПР?,answer_from_project_sources,NTK realistic project case for retrieval and grounded answer coverage.
