id,scope,category,expected_behavior,query
NTK500-V3-001,project,ftt,answer_from_project_sources,Как ФТТ описывает журнал замечаний?
NTK500-V3-002,project,ftt,answer_from_project_sources,Как проектных требованиях описывает аналитика по замечаниям?
NTK500-V3-003,project,ftt,answer_from_project_sources,Как проектных требованиях описывает история изменений?
NTK500-V3-004,project,ftt,answer_from_project_sources,Как функционально-технических требованиях описывает журнал замечаний?
NTK500-V3-005,project,ftt,answer_from_project_sources,Как функционально-технических требованиях описывает обязательные поля?
NTK500-V3-006,project,ftt,answer_from_project_sources,Какие источники подтверждают аналитика по замечаниям?
NTK500-V3-007,project,ftt,answer_from_project_sources,Какие источники подтверждают вложения и подтверждающие материалы?
NTK500-V3-008,project,ftt,answer_from_project_sources,Какие источники подтверждают жизненный цикл инспекционной проверки?
NTK500-V3-009,project,ftt,answer_from_project_sources,Какие источники подтверждают история изменений?
NTK500-V3-010,project,ftt,answer_from_project_sources,Какие источники подтверждают разграничение доступа?
NTK500-V3-011,project,ftt,answer_from_project_sources,Какие источники подтверждают уведомления пользователей?
NTK500-V3-012,project,ftt,answer_from_project_sources,Какие источники подтверждают экспорт данных?
NTK500-V3-013,project,ftt,answer_from_project_sources,Какие разделы документации нужно использовать для ответа про история изменений?
NTK500-V3-014,project,ftt,answer_from_project_sources,"Какие роли, статусы или атрибуты связаны с темой «карточка замечания» в проектных требованиях?"
NTK500-V3-015,project,ftt,answer_from_project_sources,"Какие роли, статусы или атрибуты связаны с темой «обязательные поля» в проектных требованиях?"
NTK500-V3-016,project,ftt,answer_from_project_sources,"Какие роли, статусы или атрибуты связаны с темой «поиск и фильтрация» в проектных требованиях?"
NTK500-V3-017,project,ftt,answer_from_project_sources,Какие сведения о аналитика по замечаниям нужно брать из проектных требованиях?
NTK500-V3-018,project,ftt,answer_from_project_sources,Какие сведения о аналитика по замечаниям нужно брать из функционально-технических требованиях?
NTK500-V3-019,project,ftt,answer_from_project_sources,Какие сведения о вложения и подтверждающие материалы нужно брать из проектных требованиях?
NTK500-V3-020,project,ftt,answer_from_project_sources,Какие сведения о журнал замечаний нужно брать из функционально-технических требованиях?
NTK500-V3-021,project,ftt,answer_from_project_sources,Какие сведения о обязательные поля нужно брать из ФТТ?
NTK500-V3-022,project,ftt,answer_from_project_sources,Какие сведения о статусы инспекционных документов нужно брать из проектных требованиях?
NTK500-V3-023,project,ftt,answer_from_project_sources,Какие сведения о статусы инспекционных документов нужно брать из функционально-технических требованиях?
NTK500-V3-024,project,ftt,answer_from_project_sources,Какие требования или правила описывают аналитика по замечаниям в функционально-технических требованиях?
NTK500-V3-025,project,ftt,answer_from_project_sources,Какие требования или правила описывают вложения и подтверждающие материалы в функционально-технических требованиях?
NTK500-V3-026,project,ftt,answer_from_project_sources,Какие требования или правила описывают жизненный цикл инспекционной проверки в ФТТ?
NTK500-V3-027,project,ftt,answer_from_project_sources,Какие требования или правила описывают жизненный цикл инспекционной проверки в проектных требованиях?
NTK500-V3-028,project,ftt,answer_from_project_sources,Какие требования или правила описывают жизненный цикл инспекционной проверки в функционально-технических требованиях?
NTK500-V3-029,project,ftt,answer_from_project_sources,Какие требования или правила описывают карточка замечания в функционально-технических требованиях?
NTK500-V3-030,project,ftt,answer_from_project_sources,Какие требования или правила описывают обязательные поля в ФТТ?
NTK500-V3-031,project,ftt,answer_from_project_sources,Какие требования или правила описывают обязательные поля в функционально-технических требованиях?
NTK500-V3-032,project,ftt,answer_from_project_sources,Какие требования или правила описывают поиск и фильтрация в ФТТ?
NTK500-V3-033,project,ftt,answer_from_project_sources,Что в ФТТ указано про карточка замечания?
NTK500-V3-034,project,ftt,answer_from_project_sources,Что в ФТТ указано про печатные формы?
NTK500-V3-035,project,ftt,answer_from_project_sources,Что в ФТТ указано про экспорт данных?
NTK500-V3-036,project,ftt,answer_from_project_sources,Что в проектных требованиях указано про журнал замечаний?
NTK500-V3-037,project,ftt,answer_from_project_sources,Что в проектных требованиях указано про экспорт данных?
NTK500-V3-038,project,ftt,answer_from_project_sources,Что в функционально-технических требованиях указано про жизненный цикл инспекционной проверки?
NTK500-V3-039,project,ftt,answer_from_project_sources,Что в функционально-технических требованиях указано про печатные формы?
NTK500-V3-040,project,ftt,answer_from_project_sources,Что в функционально-технических требованиях указано про поиск и фильтрация?
NTK500-V3-041,project,ftt,answer_from_project_sources,"Что нужно проверить в проектных требованиях, если вопрос касается аналитика по замечаниям?"
NTK500-V3-042,project,ftt,answer_from_project_sources,"Что нужно проверить в проектных требованиях, если вопрос касается карточка замечания?"
NTK500-V3-043,project,ftt,answer_from_project_sources,"Что нужно проверить в функционально-технических требованиях, если вопрос касается карточка замечания?"
NTK500-V3-044,project,ftt,answer_from_project_sources,"Что нужно проверить в функционально-технических требованиях, если вопрос касается поиск и фильтрация?"
NTK500-V3-045,project,ftt,answer_from_project_sources,"Что нужно проверить в функционально-технических требованиях, если вопрос касается производительность пользовательских операций?"
NTK500-V3-046,project,pr_sk,answer_from_project_sources,Как ПР СМР описывает роли строительного контроля?
