id,query,expected_doc_type,runtime_status,runtime_ok,doc_type_hit,source_url_in_top5,manual_source_supported_verdict,manual_accepted_strict,manual_review_note
NTK-SMOKE-001,Что в ФТТ указано по требованию 4.1 о формировании и подписании инспекционных документов?,ФТТ,ok,True,True,True,pass,True,"top-1/top-2 ФТТ.docx, section 4.1; источники напрямую соответствуют требованию 4.1 по инспекционным документам."
NTK-SMOKE-002,Какие функции строительного контроля перечислены в ФТТ 4.2?,ФТТ,ok,True,True,True,pass,True,"top-1 ФТТ.docx, section 4.2; далее ПР как supporting. Источник достаточен для перечисления функций СК."
NTK-SMOKE-003,"Что ФТТ 4.2.5 говорит о связке актов проверки, предписаний и НОВАДОК?",ФТТ,ok,True,True,True,pass,True,"top-1/top-2 ФТТ.docx, section 4.2.5; supporting ПМИ. Источник напрямую соответствует вопросу про связку актов/предписаний/НОВАДОК."
NTK-SMOKE-004,Какие ограничения по производительности указаны для 2520 пользователей и 600 одновременно работающих пользователей?,ФТТ,ok,True,True,True,pass,True,"top-1/top-2 ФТТ.docx, section 10.8; несколько ФТТ-источников в top-5. Достаточно для performance 2520/600."
NTK-SMOKE-005,"Что указано в ЦТА по PostgreSQL, MinIO и Kubernetes?",ЦТА,ok,True,True,True,pass,True,"top-5 полностью ЦТА, section 1.4; вопрос про PostgreSQL/MinIO/Kubernetes корректно маршрутизирован в архитектуру."
NTK-SMOKE-006,Что указано в ЦТА по логированию через Grafana Loki и интеграции с SIEM?,ЦТА,ok,True,True,True,pass,True,top-5 полностью ЦТА; источники по логированию/Grafana Loki/SIEM находятся в архитектурном документе.
NTK-SMOKE-007,Какие требования к RTO и RPO описаны в архитектуре системы?,ЦТА,ok,True,True,True,pass,True,"top-5 ЦТА, section 1.4; запрос RTO/RPO больше не уходит в clarify, источники архитектурного типа."
NTK-SMOKE-008,Как в ПР реализована работа со статусами замечаний строительного контроля?,ПР,ok,True,True,True,pass,True,top-5 ПР; источники по статусам замечаний СК и процессным строкам ПР.
NTK-SMOKE-009,Какие документы формируются автоматически после проведения инспекционной проверки?,ПР,ok,True,True,True,pass,True,"top-5 ПР, section 4.1; источники по автоматически формируемым документам после инспекционной проверки."
NTK-SMOKE-010,Какие роли предусмотрены для модуля строительного контроля?,ПР,ok,True,True,True,pass,True,top-5 ПР; источники по ролям модуля строительного контроля.
NTK-SMOKE-011,Как в СоИ AD описана синхронизация пользователей и групп через LDAPS?,СоИ AD,ok,True,True,True,pass,True,"top-5 СоИ AD; источники по синхронизации учетных записей, групп и LDAPS."
NTK-SMOKE-012,Какие группы AD app_ccpm используются для ролей строительного контроля?,СоИ AD,ok,True,True,True,partial,False,"top-1/top-2 СоИ AD и source_url есть; источники подтверждают наличие справочника групп AD и атрибута groups. Но для полного ответа по конкретным app_ccpm-группам/ролям нужен контроль, что в top-N попадает таблица соответствия групп AD и ролей, а не только общая строка справочника."
NTK-SMOKE-013,Как используется Bearer Token при интеграции MDR/НСИ?,СоИ Справочники,ok,True,True,True,pass,True,"top-1 СоИ Справочники; query про Bearer Token/MDR/НСИ попадает в нужный документ, несмотря на supporting СоИ AD ниже."
NTK-SMOKE-014,Какие поля справочников MDR описаны для полного среза и дельта-изменений?,СоИ Справочники,ok,True,True,True,pass,True,"top-5 СоИ Справочники; источники по полям справочников MDR, полному срезу и дельте."
NTK-SMOKE-015,Как в ПМИ описаны сценарии проверки аналитических дашбордов?,ПМИ,ok,True,True,True,pass,True,"top-1 ПМИ section 4.3; supporting ЦТА/ФТТ/ПР допустимы, но основной источник правильный."
NTK-SMOKE-016,Что входит в Паспорт ИС и какие связанные документы в нём указаны?,Паспорт ИС,ok,True,True,True,pass,True,"top-5 Паспорт ИС; guard больше не отказывает, источники по связанным документам/составу паспорта."
NTK-SMOKE-017,Какие регламенты ведения объектов НСИ есть в корпусе?,Реестр НСИ,ok,True,True,True,partial,False,"top-1..top-4 Реестр НСИ; источник подтверждает наличие реестров НСИ. Но формулировка про регламенты ведения объектов НСИ может требовать маршрутизации также в МВД/регламентные документы, поэтому это source-supported частично."
NTK-SMOKE-018,"Какие ограничения есть на экспорт данных в PDF, Excel и CSV?",ФТТ,ok,True,True,True,pass,True,"top-5 ФТТ, включая section 10.8; источники достаточны для ограничений экспорта PDF/Excel/CSV."
NTK-SMOKE-019,Как организована передача событий безопасности в SIEM?,ЦТА,ok,True,True,True,pass,True,top-5 ЦТА; источники архитектурного типа по SIEM/событиям безопасности.
NTK-SMOKE-020,Как приготовить карбонару?,,refused,True,False,False,pass,True,"out-of-scope запрос корректно refused; source support не требуется, guard behavior корректен."
